Date,Time,Symbol,FMP_Adj_Open_Price,Yahoo_Adj_Open_Price,Price_Difference,Price_Pct_Difference,FMP_Shares_Outstanding,Yahoo_Shares_Outstanding,Shares_Difference,Shares_Pct_Difference
2008-02-14,19:28:50,AAPL,4.62,3.889011845584592,0.730988154415408,18.796243967354815,24208684208,14935799808,9272884400,62.08495372998508
2008-02-14,19:28:51,MSFT,28.88,20.779264431162005,8.100735568837994,38.98470802792026,9742000000,7432540160,2309459840,31.072282023162323
2008-02-14,19:28:53,GOOGL,13.47,13.391905526247601,0.0780944737523992,0.5831468389568395,12432235027,5820000256,6612234771,113.61227629128132
2014-10-23,19:28:54,AAPL,26.02,23.022416917998015,2.9975830820019844,13.020279724230832,24342288000,14935799808,9406488192,62.97947423586678
2014-10-23,19:28:56,MSFT,44.62,37.92891766098034,6.691082339019658,17.641110666079353,8299000000,7432540160,866459840,11.65765433280888
2014-10-23,19:28:57,GOOGL,27.41,27.25056692731278,0.1594330726872215,0.5850633240493227,13313834674,5820000256,7493834418,128.76003588272008
2015-04-13,19:28:58,AAPL,32.09,28.631029764719884,3.4589702352801197,12.08119394833077,24342288000,14935799808,9406488192,62.97947423586678
2015-04-13,19:29:01,MSFT,41.4,35.665753087164916,5.734246912835083,16.077739614304328,8299000000,7432540160,866459840,11.65765433280888
2015-04-13,19:29:02,GOOGL,27.35,27.189436871595035,0.16056312840496645,0.590534953567603,13518694592,5820000256,7698694336,132.2799655904345
2016-01-12,19:29:04,AAPL,25.14,22.718627124492,2.421372875508002,10.658095061112304,23013684000,14935799808,8077884192,54.084041670626014
2016-01-12,19:29:05,MSFT,52.76,46.35975273663527,6.400247263364726,13.805611301949423,8177000000,7432540160,744459840,10.016223578669504
2016-01-12,19:29:06,GOOGL,37.04,36.81669488199479,0.22330511800520725,0.6065322232779092,13696229917,5820000256,7876229661,135.33040059371433
2019-03-11,19:29:08,AAPL,43.87,41.98245800292062,1.8875419970793743,4.49602545174478,19821508000,14935799808,4885708192,32.71139312796017
2019-03-11,19:29:09,MSFT,110.99,104.65789180689606,6.3321081931039345,6.050292131612289,7700000000,7432540160,267459840,3.5984984169934178
2019-03-11,19:29:10,GOOGL,57.6,57.256614947806014,0.3433850521939874,0.5997299220483264,13901396520,5820000256,8081396264,138.8555998029152


SUMMARY STATISTICS
Metric,Value
PRICE DIFFERENCES,
Valid Price Comparisons,15
Mean Price Difference ($),3.0480
Median Price Difference ($),2.4214
Std Dev Price Difference ($),2.8799
Max Price Difference ($),8.1007
Min Price Difference ($),0.0781
Mean Price Difference (%),10.3051%
Median Price Difference (%),10.6581%
Std Dev Price Difference (%),10.4476%
,
SHARES OUTSTANDING DIFFERENCES,
Valid Shares Comparisons,15
Mean Shares Difference,5591076121
Median Shares Difference,7493834418
Std Dev Shares Difference,3556932084
Max Shares Difference,9406488192
Min Shares Difference,267459840
Mean Shares Difference (%),66.1120%
Median Shares Difference (%),62.0850%
Std Dev Shares Difference (%),50.8156%
,
DATA AVAILABILITY,
Total Attempted Comparisons,15
FMP Price Data Available,15 (100.0%)
Yahoo Price Data Available,15 (100.0%)
FMP Shares Data Available,15 (100.0%)
Yahoo Shares Data Available,15 (100.0%)
