Date,Time,Symbol,FMP_Adj_Open_Price,Yahoo_Adj_Open_Price,Price_Difference,Price_Pct_Difference,FMP_Shares_Outstanding,Yahoo_Shares_Outstanding,Shares_Difference,Shares_Pct_Difference
2023-12-20,19:41:18,AAPL,196.9,195.46856356116558,1.4314364388344245,0.7323103074763746,15599434000,14935799808,663634192,4.443245092536259
2023-12-20,19:41:19,MSFT,375.0,370.7910493626897,4.208950637310295,1.1351273566459004,7429000000,7432540160,-3540160,-0.04763055326700045
2023-12-20,19:41:21,GOOGL,138.97,138.14150779001469,0.8284922099853134,0.5997416875199327,12581000000,5820000256,6760999744,116.16837537128795
2024-01-18,19:41:22,AAPL,186.09,184.73713933247967,1.352860667520332,0.7323165620127571,15509763000,14935799808,573963192,3.842868807685615
2024-01-18,19:41:24,MSFT,391.72,387.3233562733369,4.396643726663115,1.1351351927148878,7432000000,7432540160,-540160,-0.0072675019357043074
2024-01-18,19:41:25,GOOGL,142.05,141.20316607385823,0.8468339261417839,0.5997272934367746,12488000000,5820000256,6667999744,114.57043729724536
2024-01-25,19:41:27,AAPL,195.22,193.80076191791213,1.4192380820878725,0.7323181127063974,15509763000,14935799808,573963192,3.842868807685615
2024-01-25,19:41:28,MSFT,404.32,399.7819298848838,4.53807011511617,1.1351363770800986,7432000000,7432540160,-540160,-0.0072675019357043074
2024-01-25,19:41:29,GOOGL,150.07,149.17534271068604,0.8946572893139546,0.5997353671572069,12488000000,5820000256,6667999744,114.57043729724536
2024-06-25,19:41:31,AAPL,209.15,208.1764159984445,0.9735840015555084,0.46767257322884404,15405856000,14935799808,470056192,3.1471779083984894
2024-06-25,19:41:32,MSFT,448.25,444.8394216277891,3.410578372210921,0.7666987695763748,7431000000,7432540160,-1540160,-0.020721852379469687
2024-06-25,19:41:33,GOOGL,179.62,178.75409335482692,0.8659066451730837,0.4844122050141021,12415000000,5820000256,6594999744,113.31614181977108
2024-12-03,19:41:35,AAPL,239.81,239.232908507596,0.5770914924040085,0.24122579790718254,15171990000,14935799808,236190192,1.581369561966748
2024-12-03,19:41:36,MSFT,429.84,428.19374634076934,1.6462536592306378,0.3844646665905532,7433000000,7432540160,459840,0.0061868485080610715
2024-12-03,19:41:38,GOOGL,171.49,170.8897642516595,0.6002357483405092,0.35124148656239973,12290000000,5820000256,6469999744,111.16837559121922


SUMMARY STATISTICS
Metric,Value
PRICE DIFFERENCES,
Valid Price Comparisons,15
Mean Price Difference ($),1.8661
Median Price Difference ($),1.3529
Std Dev Price Difference ($),1.4696
Max Price Difference ($),4.5381
Min Price Difference ($),0.5771
Mean Price Difference (%),0.6732%
Median Price Difference (%),0.5997%
Std Dev Price Difference (%),0.2837%
,
SHARES OUTSTANDING DIFFERENCES,
Valid Shares Comparisons,15
Mean Shares Difference,2378273659
Median Shares Difference,573963192
Std Dev Shares Difference,3122770350
Max Shares Difference,6760999744
Min Shares Difference,-3540160
Mean Shares Difference (%),39.1050%
Median Shares Difference (%),3.8429%
Std Dev Shares Difference (%),54.8182%
,
DATA AVAILABILITY,
Total Attempted Comparisons,15
FMP Price Data Available,15 (100.0%)
Yahoo Price Data Available,15 (100.0%)
FMP Shares Data Available,15 (100.0%)
Yahoo Shares Data Available,15 (100.0%)
