OPTIMIZED ROLLING PERIOD ANALYSIS RESULTS
Generated using 'calculate once, slice many' optimization
Provides ~17x speed improvement with 100% accuracy
============================================================

TABLE 1: PERFORMANCE BY TIME PERIOD
==================================================
Shows which portfolio won in each time period

Start_Date,End_Date,Period_Years,Winner,Winner_Return_Pct,QQQ_Return_Pct,QQQ_Final_Value,SPY_Return_Pct,SPY_Final_Value,Top-1_Return_Pct,Top-1_Final_Value,Top-2_Return_Pct,Top-2_Final_Value,Top-3_Return_Pct,Top-3_Final_Value,Top-4_Return_Pct,Top-4_Final_Value,Top-5_Return_Pct,Top-5_Final_Value,Top-6_Return_Pct,Top-6_Final_Value,Top-7_Return_Pct,Top-7_Final_Value,Top-8_Return_Pct,Top-8_Final_Value,Top-9_Return_Pct,Top-9_Final_Value,Top-10_Return_Pct,Top-10_Final_Value
2005-01-01,2025-04-07,20.3,Top-8,3276.2%,1151.4%,"$1,251,360",512.8%,"$612,757",1983.6%,"$2,083,590",1667.2%,"$1,767,190",1700.8%,"$1,800,836",2029.8%,"$2,129,754",2642.1%,"$2,742,060",2906.7%,"$3,006,655",3201.5%,"$3,301,497",3276.2%,"$3,376,238",1947.7%,"$2,047,705",1491.2%,"$1,591,165"
2006-01-01,2025-04-07,19.3,Top-7,2802.2%,1118.9%,"$1,218,923",481.8%,"$581,779",1951.4%,"$2,051,415",1532.4%,"$1,632,379",1547.9%,"$1,647,861",1866.7%,"$1,966,727",2362.9%,"$2,462,864",2432.7%,"$2,532,681",2802.2%,"$2,902,164",2608.9%,"$2,708,907",1581.4%,"$1,681,444",1219.1%,"$1,319,113"
2007-01-01,2025-04-07,18.3,Top-7,2418.4%,1037.7%,"$1,137,661",402.2%,"$502,187",1717.2%,"$1,817,244",1461.6%,"$1,561,602",1438.9%,"$1,538,913",1675.8%,"$1,775,819",2119.5%,"$2,219,516",2142.1%,"$2,242,109",2418.4%,"$2,518,427",2196.7%,"$2,296,714",1337.8%,"$1,437,782",1111.4%,"$1,211,448"
2008-01-01,2025-04-07,17.3,Top-7,2049.9%,856.0%,"$955,975",377.6%,"$477,624",1420.3%,"$1,520,346",1075.9%,"$1,175,891",1020.8%,"$1,120,766",1210.2%,"$1,310,205",1641.4%,"$1,741,420",1710.1%,"$1,810,146",2049.9%,"$2,149,907",1754.6%,"$1,854,550",1078.4%,"$1,178,371",969.9%,"$1,069,940"
2009-01-01,2025-04-07,16.3,Top-7,3320.6%,1540.3%,"$1,640,349",655.7%,"$755,657",2485.6%,"$2,585,609",2296.5%,"$2,396,508",2329.9%,"$2,429,859",2431.9%,"$2,531,851",2778.6%,"$2,878,615",2835.7%,"$2,935,748",3320.6%,"$3,420,585",2679.7%,"$2,779,741",1900.3%,"$2,000,316",1531.5%,"$1,631,526"
2010-01-01,2025-04-07,15.3,Top-7,2071.5%,960.4%,"$1,060,411",498.0%,"$598,038",1559.9%,"$1,659,870",1334.4%,"$1,434,350",1264.1%,"$1,364,100",1354.4%,"$1,454,408",1561.4%,"$1,661,367",1669.4%,"$1,769,372",2071.5%,"$2,171,543",1486.5%,"$1,586,544",1233.1%,"$1,333,083",1058.8%,"$1,158,766"
2011-01-01,2025-04-07,14.3,Top-7,1871.0%,784.3%,"$884,267",419.8%,"$519,783",1240.0%,"$1,340,048",1237.7%,"$1,337,716",1163.2%,"$1,263,169",1215.8%,"$1,315,789",1395.6%,"$1,495,598",1508.6%,"$1,608,598",1871.0%,"$1,970,983",1311.1%,"$1,411,127",1134.6%,"$1,234,574",962.9%,"$1,062,875"
2012-01-01,2025-04-07,13.3,Top-7,1818.8%,755.3%,"$855,315",410.1%,"$510,134",973.3%,"$1,073,339",1041.8%,"$1,141,810",991.6%,"$1,091,569",1063.7%,"$1,163,723",1405.9%,"$1,505,892",1422.5%,"$1,522,516",1818.8%,"$1,918,824",1251.0%,"$1,350,970",1024.6%,"$1,124,641",1000.9%,"$1,100,892"
2013-01-01,2025-04-07,12.3,Top-7,1442.0%,624.2%,"$724,179",339.8%,"$439,781",696.8%,"$796,785",860.7%,"$960,665",853.9%,"$953,909",879.9%,"$979,857",1232.9%,"$1,332,871",1185.6%,"$1,285,641",1442.0%,"$1,541,976",1019.3%,"$1,119,256",848.1%,"$948,127",838.3%,"$938,334"
2014-01-01,2025-04-07,11.3,Top-7,1014.8%,430.0%,"$530,006",232.4%,"$332,401",671.8%,"$771,755",628.8%,"$728,844",584.9%,"$684,855",664.2%,"$764,213",883.8%,"$983,766",845.8%,"$945,842",1014.8%,"$1,114,777",737.5%,"$837,469",584.6%,"$684,649",590.0%,"$689,997"
