portfolio,date,datetime,action,symbol,price,shares,value,market_cap
Top-1,2020-01-02,2020-01-02 09:30:00,BUY,AAPL,71.6239,1396.182377,100000.00,1341388420320
Top-1,2020-03-30,2020-03-30 09:30:00,BUY,MSFT,145.6471,592.035173,86228.22,1174659570000
Top-1,2020-03-30,2020-03-30 09:30:00,SELL,AAPL,60.7808,1396.182377,84861.03,1140789711360
Top-1,2020-04-13,2020-04-13 09:30:00,BUY,AAPL,65.0375,1439.455542,93618.52,1223356583280
Top-1,2020-04-13,2020-04-13 09:30:00,SELL,MSFT,157.0217,592.035173,92962.38,1213331490000
Top-1,2020-04-16,2020-04-16 09:30:00,BUY,MSFT,166.5321,600.565082,100013.37,1297887950000
Top-1,2020-04-16,2020-04-16 09:30:00,SELL,AAPL,69.6545,1439.455542,100264.56,1283388425280
Top-1,2020-04-28,2020-04-28 09:30:00,BUY,AAPL,69.0905,1410.262454,97435.68,1247184606720
Top-1,2020-04-28,2020-04-28 09:30:00,SELL,MSFT,167.7623,600.565082,100752.20,1244867520000
Top-1,2020-04-29,2020-04-29 09:30:00,BUY,MSFT,165.4977,594.193208,98337.60,1300726960000
Top-1,2020-04-29,2020-04-29 09:30:00,SELL,AAPL,69.0029,1410.262454,97312.25,1288006259280
Top-1,2020-04-30,2020-04-30 09:30:00,BUY,AAPL,70.2793,1447.621054,101737.76,1315343836560
Top-1,2020-04-30,2020-04-30 09:30:00,SELL,MSFT,171.9748,594.193208,102186.25,1313771060000
Top-1,2021-11-11,2021-11-11 09:30:00,BUY,MSFT,321.0563,654.426378,210107.72,2431643400000
Top-1,2021-11-11,2021-11-11 09:30:00,SELL,AAPL,146.2099,1447.621054,211656.50,2424022618080
Top-1,2021-11-15,2021-11-15 09:30:00,BUY,AAPL,147.5932,1444.238671,213159.76,2458928276560
Top-1,2021-11-15,2021-11-15 09:30:00,SELL,MSFT,327.1447,654.426378,214092.14,2458208840000
Top-1,2021-11-16,2021-11-16 09:30:00,BUY,MSFT,325.3479,657.913030,214050.61,2483415820000
Top-1,2021-11-16,2021-11-16 09:30:00,SELL,AAPL,147.1696,1444.238671,212548.01,2475295523120
Top-1,2021-11-17,2021-11-17 09:30:00,BUY,AAPL,148.2061,1461.732299,216637.60,2516046626800
Top-1,2021-11-17,2021-11-17 09:30:00,SELL,MSFT,329.1052,657.913030,216522.61,2485076160000
Top-1,2024-01-16,2024-01-16 09:30:00,BUY,MSFT,389.2420,684.596805,266473.80,2873336940000
Top-1,2024-01-16,2024-01-16 09:30:00,SELL,AAPL,180.8406,1461.732299,264340.61,2870173311300
Top-1,2024-01-18,2024-01-18 09:30:00,BUY,AAPL,184.7384,1443.209191,266616.23,2948264697060
Top-1,2024-01-18,2024-01-18 09:30:00,SELL,MSFT,387.3241,684.596805,265160.86,2899844700000
Top-1,2024-01-29,2024-01-29 09:30:00,BUY,MSFT,401.5011,684.183538,274700.44,3016523520000
Top-1,2024-01-29,2024-01-29 09:30:00,SELL,AAPL,190.6180,1443.209191,275101.61,2996756928540
Top-1,2024-06-11,2024-06-11 09:30:00,BUY,AAPL,192.7526,1524.138327,293781.57,3246302989890
Top-1,2024-06-11,2024-06-11 09:30:00,SELL,MSFT,422.2447,684.183538,288892.91,3197237940000
Top-1,2024-06-20,2024-06-20 09:30:00,BUY,MSFT,442.9054,718.184160,318087.67,3293440260000
Top-1,2024-06-20,2024-06-20 09:30:00,SELL,AAPL,212.9301,1524.138327,324534.98,3285821009700
Top-1,2024-06-26,2024-06-26 09:30:00,BUY,AAPL,210.5181,1530.811646,322263.60,3341870472060
Top-1,2024-06-26,2024-06-26 09:30:00,SELL,MSFT,445.5840,718.184160,320011.40,3341169120000
Top-1,2024-06-28,2024-06-28 09:30:00,BUY,MSFT,449.6234,713.751379,320919.35,3302673300000
Top-1,2024-06-28,2024-06-28 09:30:00,SELL,AAPL,214.7660,1530.811646,328766.35,3300620586840
Top-1,2024-07-01,2024-07-01 09:30:00,BUY,AAPL,211.1017,1532.473639,323507.81,3396660395940
Top-1,2024-07-01,2024-07-01 09:30:00,SELL,MSFT,445.2415,713.751379,317791.73,3368100750000
Top-1,2024-11-05,2024-11-05 09:30:00,BUY,NVDA,137.4205,2483.150890,341235.91,3453637200000
Top-1,2024-11-05,2024-11-05 09:30:00,SELL,AAPL,221.0258,1532.473639,338716.15,3416600160610
Top-1,2024-11-18,2024-11-18 09:30:00,BUY,AAPL,224.7067,1548.414585,347939.10,3490250319010
Top-1,2024-11-18,2024-11-18 09:30:00,SELL,NVDA,139.4701,2483.150890,346325.40,3459562800000
Top-1,2024-11-19,2024-11-19 09:30:00,BUY,NVDA,141.2912,2495.700725,352620.45,3628936200000
Top-1,2024-11-19,2024-11-19 09:30:00,SELL,AAPL,226.4331,1548.414585,350612.36,3494239702590
Top-1,2024-11-22,2024-11-22 09:30:00,BUY,AAPL,227.5143,1556.780383,354189.85,3518636317560
Top-1,2024-11-22,2024-11-22 09:30:00,SELL,NVDA,145.8992,2495.700725,364120.64,3504004800000
Top-1,2025-01-21,2025-01-21 09:30:00,BUY,NVDA,139.1402,2484.981556,345760.92,3476598900000
Top-1,2025-01-21,2025-01-21 09:30:00,SELL,AAPL,223.4567,1556.780383,347873.01,3407854204300
Top-1,2025-01-27,2025-01-27 09:30:00,BUY,AAPL,223.4840,1316.523111,294221.82,3518482879730
Top-1,2025-01-27,2025-01-27 09:30:00,SELL,NVDA,124.7789,2484.981556,310073.32,2907312000000
Top-10,2020-01-02,2020-01-02 09:30:00,BUY,AAPL,71.6239,139.618238,10000.00,1341388420320
Top-10,2020-01-02,2020-01-02 09:30:00,BUY,MSFT,151.2868,66.099605,10000.00,1174275920000
Top-10,2020-01-02,2020-01-02 09:30:00,BUY,GOOG,66.7660,149.776748,10000.00,942623156000
Top-10,2020-01-02,2020-01-02 09:30:00,BUY,GOOGL,67.0259,149.196048,10000.00,942346117600
Top-10,2020-01-02,2020-01-02 09:30:00,BUY,AMZN,93.7500,106.666667,10000.00,937612000000
Top-10,2020-01-02,2020-01-02 09:30:00,BUY,META,205.6265,48.631872,10000.00,595458560000
Top-10,2020-01-02,2020-01-02 09:30:00,BUY,JNJ,124.8944,80.067654,10000.00,329010724860
Top-10,2020-01-02,2020-01-02 09:30:00,BUY,INTC,53.1407,188.179646,10000.00,237060390000
