portfolio,date,datetime,action,symbol,price,shares,value,market_cap
Top-1,2005-01-03,2005-01-03 09:30:00,BUY,MSFT,18.5453,5392.196600,100000.00,200345069013
Top-1,2010-05-25,2010-05-25 09:30:00,BUY,AAPL,7.1933,14789.834257,106388.04,179865223703
Top-1,2010-05-25,2010-05-25 09:30:00,SELL,MSFT,19.4121,5392.196600,104674.08,173641595800
Top-1,2016-02-01,2016-02-01 09:30:00,BUY,GOOGL,38.3299,8407.813514,322270.49,524974857984
Top-1,2016-02-01,2016-02-01 09:30:00,SELL,AAPL,21.7990,14789.834257,322404.16,501676166137
Top-1,2016-02-08,2016-02-08 09:30:00,BUY,AAPL,21.1529,13911.703482,294273.47,486807149506
Top-1,2016-02-08,2016-02-08 09:30:00,SELL,GOOGL,34.1750,8407.813514,287336.61,468067976686
Top-1,2016-05-13,2016-05-13 09:30:00,BUY,GOOGL,36.1195,7968.917526,287833.15,494700681701
Top-1,2016-05-13,2016-05-13 09:30:00,SELL,AAPL,20.5711,13911.703482,286179.66,473417819006
Top-1,2016-05-24,2016-05-24 09:30:00,BUY,AAPL,22.2246,13062.457059,290307.67,511469537865
Top-1,2016-05-24,2016-05-24 09:30:00,SELL,GOOGL,35.7740,7968.917526,285079.75,489968405866
Top-1,2019-01-03,2019-01-03 09:30:00,BUY,AMZN,76.0000,5821.387113,442425.42,740240000000
Top-1,2019-01-03,2019-01-03 09:30:00,SELL,AAPL,34.2892,13062.457059,447901.29,679663785930
Top-1,2019-02-08,2019-02-08 09:30:00,BUY,AAPL,40.4350,11432.569509,462276.35,801483373920
Top-1,2019-02-08,2019-02-08 09:30:00,SELL,AMZN,79.3000,5821.387113,461636.00,772382000000
Top-1,2019-05-17,2019-05-17 09:30:00,BUY,MSFT,121.4371,4273.192786,518924.33,935066012884
Top-1,2019-05-17,2019-05-17 09:30:00,SELL,AAPL,44.8905,11432.569509,513213.42,889796807082
Top-1,2019-09-11,2019-09-11 09:30:00,BUY,AAPL,52.5694,10507.123422,552352.90,1042004264956
Top-1,2019-09-11,2019-09-11 09:30:00,SELL,MSFT,129.0606,4273.192786,551500.75,990281855729
Top-1,2020-04-03,2020-04-03 09:30:00,BUY,MSFT,148.1834,4148.723390,614771.79,1137010957752
Top-1,2020-04-03,2020-04-03 09:30:00,SELL,AAPL,58.8493,10507.123422,618337.16,1087025727757
Top-1,2020-05-12,2020-05-12 09:30:00,BUY,AAPL,77.2451,9365.159541,723412.90,1426820615232
Top-1,2020-05-12,2020-05-12 09:30:00,SELL,MSFT,178.4687,4148.723390,740417.12,1369390064479
Top-1,2024-02-02,2024-02-02 09:30:00,BUY,MSFT,399.2733,4327.542438,1727871.94,2972988621944
Top-1,2024-02-02,2024-02-02 09:30:00,SELL,AAPL,178.5535,9365.159541,1672182.12,2811187721406
Top-1,2024-06-20,2024-06-20 09:30:00,BUY,NVDA,139.7572,13696.000865,1914115.30,3450606284447
Top-1,2024-06-20,2024-06-20 09:30:00,SELL,MSFT,442.9054,4327.542438,1916692.07,3297873879376
Top-1,2024-06-21,2024-06-21 09:30:00,BUY,MSFT,443.9782,3903.242994,1732954.99,3305862041471
Top-1,2024-06-21,2024-06-21 09:30:00,SELL,NVDA,127.0798,13696.000865,1740485.41,3137600908462
Top-1,2024-07-09,2024-07-09 09:30:00,BUY,AAPL,226.8735,7845.936698,1780034.93,3571948421375
Top-1,2024-07-09,2024-07-09 09:30:00,SELL,MSFT,463.4432,3903.242994,1808931.35,3443846287766
Top-1,2024-11-06,2024-11-06 09:30:00,BUY,NVDA,142.9305,12183.030427,1741327.19,3528955180221
Top-1,2024-11-06,2024-11-06 09:30:00,SELL,AAPL,221.8304,7845.936698,1740467.16,3403717293884
Top-1,2024-11-26,2024-11-26 09:30:00,BUY,AAPL,232.7642,7164.912260,1667735.04,3571483299771
Top-1,2024-11-26,2024-11-26 09:30:00,SELL,NVDA,137.6698,12183.030427,1677235.72,3399068080412
Top-1,2025-01-22,2025-01-22 09:30:00,BUY,NVDA,144.6403,11060.907312,1599853.26,3571169691779
Top-1,2025-01-22,2025-01-22 09:30:00,SELL,AAPL,219.2597,7164.912260,1570976.85,3364273973735
Top-1,2025-01-27,2025-01-27 09:30:00,BUY,AAPL,223.4840,5859.979147,1309611.43,3429089596785
Top-1,2025-01-27,2025-01-27 09:30:00,SELL,NVDA,124.7789,11060.907312,1380168.10,3063946441479
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,MSFT,18.5453,539.219660,10000.00,200345069013
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,JNJ,35.2605,283.603715,10000.00,104656598034
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,AIG,687.6288,14.542729,10000.00,89598036720
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,INTC,13.6638,731.860054,10000.00,87448412657
Top-10,2005-01-03,2005-01-03 09:30:00,BUY,CSCO,12.7054,787.065403,10000.00,86905103106
